Rank,Summoner,Tier,LP,Most Champ,Wins,Losses,Win Ratio
1746,BountyHuntmo#NA1,diamond 1,22,"['Teemo', 'Leona']",33,18,65
1747,薛之谦#ZIXIN,diamond 1,22,"['Neeko', 'Ezreal', 'Ekko']",26,25,51
1748,ItsCharlie#0248,diamond 1,22,"['Katarina', 'Hwei', 'Syndra']",34,34,50
1749,DodgeHellCat69#GOAT,diamond 1,22,"['Fiora', 'Rengar', 'Jax']",22,15,59
1750,MID2WIN#NA1,diamond 1,22,"['Leblanc', 'Karthus', 'Brand']",22,16,58
1751,CSX starz#NA1,diamond 1,22,"['Talon', 'Evelynn', 'Sylas']",18,11,62
1752,Corvus Crow#666,diamond 1,22,"['Kassadin', 'Naafiri', 'Lucian']",46,34,57
1753,Divigen Kr#thug,diamond 1,21,"['Warwick', 'Ekko', 'Katarina']",21,20,51
1754,Shuvi#Love,diamond 1,21,"['Diana', 'Chogath', 'Renekton']",34,30,53
1755,KettSuioツ#TBB,diamond 1,21,"['Katarina', 'Darius', 'Akali']",27,24,53
1756,T1 Faker#5628,diamond 1,21,"['Akali', 'LeeSin', 'Lucian']",27,26,51
1757,fade away#420,diamond 1,21,"['Yasuo', 'Yone', 'Sylas']",24,18,57
1758,Slurps#NA1,diamond 1,21,"['MissFortune', 'Jhin', 'Lucian']",17,8,68
1759,Chez de Cha#NA1,diamond 1,21,"['Irelia', 'Camille', 'Yone']",29,26,53
1760,김채민#7947,diamond 1,21,"['Varus', 'Jhin', 'Lucian']",20,19,51
1761,counter#Noxus,diamond 1,21,"['Darius', 'Aatrox', 'Gwen']",30,30,50
1762,NinjaTemplar#BIRD,diamond 1,21,"['Anivia', 'Lillia']",34,33,51
1763,super bubble#NA1,diamond 1,21,"['Aphelios', 'Varus', 'Nilah']",57,57,50
1764,t d#1105,diamond 1,21,"['Senna', 'Sona', 'Ashe']",34,33,51
1765,VicSaint#owl,diamond 1,21,"['Hwei', 'Nami', 'Naafiri']",37,48,44
1766,Hallal#001,diamond 1,21,"['Udyr', 'Khazix', 'Ekko']",23,19,55
1767,Xerath#0228,diamond 1,21,"['Xerath', 'Malphite', 'Fiora']",36,39,48
1768,TheMooseIsLoose#NA1,diamond 1,21,"['Senna', 'Maokai', 'Sona']",17,11,61
1769,Shuckiez#NA2,diamond 1,21,"['Lucian', 'Jinx', 'Vayne']",48,51,48
1770,Kiyona#002,diamond 1,21,"['Varus', 'Kalista', 'Tristana']",19,12,61
1771,matt#90404,diamond 1,21,"['Caitlyn', 'Jhin', 'Lucian']",15,8,65
1772,Gasslight#Gass,diamond 1,21,"['Ornn', 'Rakan', 'Sion']",49,42,54
1773,最后的一张牌#Ace,diamond 1,21,"['Aatrox', 'Jhin', 'Fiora']",32,26,55
1774,XDoo#NA1,diamond 1,21,"['Ekko', 'Kayn', 'Viego']",22,15,59
1775,KID A MNESIA#NA1,diamond 1,21,"['Milio', 'Renata', 'Rakan']",27,11,71
1776,DeserveTooLose#NA1,diamond 1,21,"['Vladimir', 'Aatrox', 'Ekko']",53,29,65
1777,TurkishKebaby#NA1,diamond 1,21,"['Sona', 'Bard', 'Renata']",51,55,48
1778,Darth Vader#HATE,diamond 1,21,"['MasterYi', 'Kayn']",23,16,59
1779,kENzi8#666,diamond 1,21,"['Graves', 'Kindred', 'Diana']",18,15,55
1780,nothing#星河滚烫,diamond 1,21,"['Kaisa', 'Aatrox', 'Thresh']",38,46,45
1781,FORFUNPLAYER00#NA1,diamond 1,21,"['Fiora', 'Riven', 'Fizz']",32,27,54
1782,S2ETOGor#HKG,diamond 1,21,"['MasterYi', 'Irelia', 'XinZhao']",32,35,48
1783,fat booty cheeks#kh9,diamond 1,21,"['Nunu', 'Kayle', 'Hecarim']",32,29,52
1784,Peur#NA1,diamond 1,21,"['Twitch', 'Pyke', 'Qiyana']",25,23,52
1785,Tryndaqueer#NA1,diamond 1,20,"['Tryndamere', 'Lux', 'Singed']",25,28,47
1786,favoritechip#888,diamond 1,20,"['Seraphine', 'Sona', 'Milio']",34,31,52
1787,REDPANDAVSAPPLE#123,diamond 1,20,"['Jhin', 'Lucian', 'Samira']",28,22,56
1788,sinkwater91#NA1,diamond 1,20,"['Graves', 'Khazix', 'Belveth']",31,29,52
1789,5hardul#NA1,diamond 1,20,"['Janna', 'Sona', 'Lulu']",19,13,59
1790,Spheal#7878,diamond 1,20,"['Jinx', 'MissFortune', 'Xayah']",35,25,58
1791,blizpr#NA1,diamond 1,20,"['Naafiri', 'Viktor', 'Lissandra']",72,57,56
1792,unraveling#NA2,diamond 1,20,"['Taliyah', 'Zoe', 'Hwei']",43,36,54
1793,Gluestickz#NA1,diamond 1,20,"['Nocturne', 'Lillia', 'Brand']",39,36,52
1794,Seekyr#NA1,diamond 1,20,"['Teemo', 'XinZhao']",22,16,58
1795,Alaskan Kodiak#NA1,diamond 1,20,"['KSante', 'Aatrox', 'Ornn']",21,18,54
1796,Scary Snake Lady#NA1,diamond 1,20,[],20,14,59
1797,emeraldao#T3G,diamond 1,20,"['Leona', 'Nautilus', 'Blitzcrank']",16,10,62
1798,Yungderfie#razz,diamond 1,20,"['Vayne', 'Lucian', 'Ashe']",27,26,51
1799,135 Bench Press#0000,diamond 1,20,"['Kennen', 'XinZhao', 'Shaco']",31,31,50
1800,Arrow Liners#NA1,diamond 1,20,"['Sylas', 'Ekko', 'Jayce']",25,16,61
1801,Loose Lucky#NA1,diamond 1,20,"['Sion', 'Senna', 'Mordekaiser']",19,9,68
1802,calvurz#NA1,diamond 1,20,"['Shaco', 'MasterYi', 'Mordekaiser']",23,13,64
1803,Geobukseon#NA1,diamond 1,20,"['Akali', 'Shen', 'Irelia']",40,39,51
1804,GaTe9#NA1,diamond 1,20,"['Jinx', 'Lucian', 'Xayah']",14,4,78
1805,Rannavriaspig#NA1,diamond 1,20,"['Nautilus', 'Rell', 'Renata']",29,32,48
1806,Fat Ashę#4176,diamond 1,20,"['Ashe', 'Kaisa', 'Jinx']",31,31,50
1807,孟原快去洗脚丫#MYMY,diamond 1,20,"['XinZhao', 'JarvanIV']",12,2,86
1808,clearlove7niubi#NA1,diamond 1,20,"['Lillia', 'XinZhao', 'Graves']",26,27,49
1809,GiveMeEverything#NA1,diamond 1,20,"['Aatrox', 'KSante', 'Renekton']",15,7,68
1810,Rammus In Boots#NA1,diamond 1,20,['Rammus'],22,14,61
1811,vortex#3843,diamond 1,20,"['Darius', 'Irelia', 'Jayce']",33,29,53
1812,豆子不逗#frank,diamond 1,20,"['Zoe', 'Lissandra', 'Galio']",40,33,55
1813,Lumaque#1337,diamond 1,20,[],21,15,58
1814,bunny#baeby,diamond 1,20,"['Janna', 'Neeko', 'Lux']",21,19,53
1815,Case Closed#CONAN,diamond 1,20,"['Janna', 'Lulu', 'Soraka']",24,16,60
1816,LustyMature#2525,diamond 1,20,"['Pantheon', 'Senna', 'Udyr']",31,27,53
1817,Jerome Powell#poor,diamond 1,20,"['Alistar', 'Thresh', 'Seraphine']",16,8,67
1818,rtrd666#NA1,diamond 1,19,['Singed'],50,41,55
1819,母猪为何深夜惨叫#James,diamond 1,19,"['Renekton', 'Aatrox', 'Pantheon']",23,18,56
1820,FaIling Star#NA1,diamond 1,19,"['Galio', 'Pantheon', 'Kassadin']",47,44,52
1821,Zekken Yuuki#NA1,diamond 1,19,"['Qiyana', 'MissFortune', 'Vladimir']",39,37,51
1822,Detsu Sama#NA1,diamond 1,19,"['Jhin', 'Varus', 'Seraphine']",49,48,51
1823,GN Quack#NA1,diamond 1,19,"['Pyke', 'Lux', 'Galio']",20,12,63
1824,SZA#T1 EZ,diamond 1,19,"['Ezreal', 'Senna', 'Seraphine']",22,17,56
1825,Tora#dora,diamond 1,19,"['Poppy', 'Vladimir', 'Gragas']",25,22,53
1826,VN Danny#NA1,diamond 1,19,"['Pyke', 'Rengar', 'Karthus']",17,9,65
1827,Diggle#000,diamond 1,19,"['Udyr', 'Camille', 'DrMundo']",31,28,53
1828,Nohova#NA1,diamond 1,19,"['Caitlyn', 'Varus', 'Kaisa']",30,29,51
1829,Kaiso#NA1,diamond 1,19,"['Orianna', 'Katarina', 'Pyke']",70,66,51
1830,天上的星星笑地上的人#几帧从前,diamond 1,19,"['Rell', 'TahmKench', 'Camille']",32,23,58
1831,Defect#NA1,diamond 1,19,"['Ezreal', 'Varus', 'Chogath']",16,9,64
1832,JerryxNA#4954,diamond 1,19,"['Lillia', 'Graves', 'Viego']",46,46,50
1833,friend#0 0,diamond 1,19,"['Seraphine', 'Sona', 'Lux']",41,43,49
1834,준 기#4545,diamond 1,19,"['KSante', 'Irelia', 'Galio']",27,26,51
1835,baozhibanana#NA1,diamond 1,19,"['Kayn', 'Rengar', 'Belveth']",17,8,68
1836,Plats#NA2,diamond 1,19,"['Udyr', 'Ornn', 'Maokai']",30,21,59
1837,lpb63#NA1,diamond 1,19,"['Yasuo', 'Yone']",35,23,60
1838,BlackChutney#NA2,diamond 1,19,"['Ekko', 'Viego', 'Elise']",72,67,52
1839,Yousuf#NA1,diamond 1,19,"['Azir', 'Hwei', 'Elise']",21,19,53
1840,她说带了不算给#011,diamond 1,19,"['Illaoi', 'Malphite', 'Blitzcrank']",44,48,48
1841,阿古朵练习生#3000分,diamond 1,19,"['Nunu', 'Khazix', 'XinZhao']",15,6,71
1842,ImANightmare#NA2,diamond 1,18,"['Kayn', 'Poppy', 'Nunu']",66,65,50
1843,Hukkles#4044,diamond 1,18,"['Kayn', 'XinZhao', 'Varus']",44,45,49
1844,Nimb#CAT,diamond 1,18,"['Cassiopeia', 'Aatrox', 'Yone']",22,16,58
1845,HuTaoRunMeOver#car,diamond 1,18,"['Bard', 'Akshan', 'Malzahar']",30,30,50
1846,The perfect end#NA1,diamond 1,18,"['Shen', 'Yone', 'Jax']",28,26,52
1847,eeqa#NA1,diamond 1,18,"['Graves', 'LeeSin', 'Ekko']",30,23,57
1848,Kommissar Price#NA1,diamond 1,18,"['Bard', 'Thresh', 'Blitzcrank']",25,18,58
1849,TastyMengo#BLINK,diamond 1,18,"['Akali', 'Galio', 'TwistedFate']",17,14,55
1850,Pray#Oct,diamond 1,18,"['Yone', 'Azir', 'Malzahar']",44,44,50
1851,Torgal#1234,diamond 1,18,"['LeeSin', 'Jayce', 'Yasuo']",21,15,58
1852,小橘子#Gabby,diamond 1,18,['Yuumi'],21,16,57
1853,anita max wynn#LADS,diamond 1,18,"['Syndra', 'Taliyah', 'Pyke']",32,27,54
1854,froslass#ice,diamond 1,18,"['Ekko', 'Qiyana', 'Talon']",26,22,54
1855,Headhunter#Cult,diamond 1,18,"['Rengar', 'Vladimir', 'Akali']",34,21,62
1856,NILAH99#0323,diamond 1,18,['Nilah'],19,12,61
1857,The Slım Shady#NA1,diamond 1,18,"['Rengar', 'Nocturne', 'Diana']",32,14,70
1858,Irelicant#fmboy,diamond 1,18,"['Evelynn', 'Lulu', 'Seraphine']",43,17,72
1859,STEPZ#777,diamond 1,18,"['Graves', 'Viego', 'XinZhao']",13,3,81
1860,Spankers#瞿鼎涵,diamond 1,18,"['Rell', 'Alistar', 'LeeSin']",23,20,53
1861,Glooby#1807,diamond 1,18,"['Bard', 'Zyra', 'Rakan']",20,10,67
1862,Jungle Madbush#1111,diamond 1,17,"['Briar', 'Belveth', 'Rammus']",51,35,59
1863,vnCXnz236712Kxdt#dsfad,diamond 1,17,"['Zyra', 'Sona', 'Orianna']",19,13,59
1864,路西法#King,diamond 1,17,"['Belveth', 'Hecarim', 'Rengar']",22,26,46
1865,PoroBelter#7187,diamond 1,17,"['Anivia', 'Akali']",17,10,63
1866,POLARIS#Axing,diamond 1,17,"['Rumble', 'Zoe', 'Lissandra']",15,7,68
1867,BANNED NAME POG#NA1,diamond 1,17,"['Lulu', 'Senna', 'Hecarim']",22,12,65
1868,illtakeMid#NA1,diamond 1,17,"['Neeko', 'Galio', 'Fizz']",26,24,52
1869,DRAVEN HYPE#5079,diamond 1,17,"['Draven', 'Lucian', 'Twitch']",42,39,52
1870,Mr Clutcher#God,diamond 1,17,"['Draven', 'Samira', 'Pantheon']",44,33,57
1871,WoarHog#NA1,diamond 1,17,"['Kassadin', 'Mordekaiser', 'Talon']",35,29,55
1872,merrjerry#NA1,diamond 1,17,"['Evelynn', 'Lissandra', 'Gragas']",45,50,47
1873,Jradious#NA1,diamond 1,17,"['Ornn', 'Azir', 'Xerath']",56,60,48
1874,Kase#6430,diamond 1,17,"['XinZhao', 'Lillia', 'JarvanIV']",40,35,53
1875,Sunbeh#선배님,diamond 1,17,"['Senna', 'Sona', 'Rell']",16,13,55
1876,fluffytorture#6666,diamond 1,17,"['Karma', 'Zyra', 'Senna']",54,44,55
1877,Talkseeek#toxic,diamond 1,17,"['Fizz', 'Vex', 'Caitlyn']",31,26,54
1878,Just 1v9ing#NA1,diamond 1,17,"['Ekko', 'Syndra', 'Vladimir']",36,23,61
1879,Fizzy#NA03,diamond 1,17,"['Kindred', 'Lillia', 'Diana']",14,4,78
1880,Davatzis#NA1,diamond 1,17,"['Yasuo', 'Zed', 'Viktor']",17,8,68
1881,으끄으끄#999,diamond 1,17,"['Varus', 'Jhin', 'Draven']",28,26,52
1882,wo wan nan dao#NA1,diamond 1,17,"['Talon', 'Pantheon', 'Taliyah']",33,32,51
1883,インインニ#5236,diamond 1,17,"['Riven', 'Volibear', 'Pantheon']",21,17,55
1884,ADCADC123#NA1,diamond 1,17,"['Kalista', 'Jhin', 'Varus']",13,5,72
1885,augdog#aug,diamond 1,16,"['Blitzcrank', 'Thresh', 'Nasus']",63,47,57
1886,Jacobo#NA2,diamond 1,16,"['Nilah', 'Swain', 'Ezreal']",28,17,62
1887,SHAC0PIUM#NA1,diamond 1,16,"['Shaco', 'Hecarim', 'Nocturne']",52,43,55
1888,FENNEC FENNEC#NA1,diamond 1,16,"['Lucian', 'Sivir', 'KogMaw']",13,3,81
1889,Debraj#NA1,diamond 1,16,"['Heimerdinger', 'Bard', 'Thresh']",16,10,62
1890,Polare#1776,diamond 1,16,"['Thresh', 'Bard', 'Braum']",36,36,50
1891,gooby#looby,diamond 1,16,"['Singed', 'Urgot', 'Sett']",50,54,48
1892,Jer Bear#TIT,diamond 1,16,['Lillia'],18,12,60
1893,Smolder#Oreo,diamond 1,16,"['Kaisa', 'Samira', 'Vayne']",28,26,52
1894,Kassamir#NA1,diamond 1,16,"['Kassadin', 'Vladimir']",32,29,52
1895,Im Choi#NA1,diamond 1,16,"['Bard', 'Braum', 'Maokai']",33,30,52
1896,XAVIUN#NA1,diamond 1,16,"['Samira', 'Zeri', 'Veigar']",18,10,64
1897,baby pluto#2353,diamond 1,16,"['Nautilus', 'Senna', 'Lulu']",20,13,61
1898,QuinnAD#Valor,diamond 1,16,['Quinn'],25,25,50
1899,Clipperzz#0008,diamond 1,16,"['Caitlyn', 'Samira', 'Hwei']",35,34,51
1900,Hashiwa#NA1,diamond 1,16,"['Kassadin', 'Thresh', 'Janna']",17,10,63
